perth_suburb	postcode	lat	long	med_price_2017	change_2017	change_2017_per	buble_change
Heathridge	6027	-31.759362	115.763247	442500	-0.02	-2	27.4
Kewdale	6105	-31.973879	115.936456	490000	-0.02	-2	27.4
Kinross	6028	-31.718375	115.735228	480000	-0.02	-2	27.4
Stoneville	6081	-31.877344	116.16871	490000	-0.02	-2	27.4
Redcliffe	6104	-31.935087	115.94771	446250	-0.019	-1.9	27.5
Wandi	6167	-32.19289	115.880469	505000	-0.019	-1.9	27.5
Ashby	6065	-31.734209	115.792445	461500	-0.018	-1.8	27.6
Coogee	6166	-32.116146	115.76579	805000	-0.018	-1.8	27.6
Perth	6000	-31.924074	115.91223	835000	-0.018	-1.8	27.6
Balcatta	6021	-31.863835	115.817189	486500	-0.017	-1.7	27.7
Hamilton Hill	6163	-32.075923	115.779829	475000	-0.017	-1.7	27.7
Landsdale	6065	-31.804175	115.875449	551000	-0.016	-1.6	27.8
Kelmscott	6111	-32.114056	116.015889	336000	-0.015	-1.5	27.9
Ocean Reef	6027	-31.752177	115.735165	720000	-0.014	-1.4	28
Willetton	6155	-32.053151	115.88153	700000	-0.014	-1.4	28
Atwell	6164	-32.132801	115.860591	520500	-0.013	-1.3	28.1
Hammond Park	6164	-32.16833	115.85111	518000	-0.013	-1.3	28.1
Yanchep	6035	-31.54667	115.632045	385000	-0.013	-1.3	28.1
Booragoon	6154	-32.035854	115.832262	845000	-0.012	-1.2	28.2
Wattle Grove	6107	-32.008813	116.00229	526000	-0.012	-1.2	28.2
Belmont	6104	-31.955563	115.921383	460000	-0.011	-1.1	28.3
Mardella	6125	-32.331865	115.980909	750000	-0.011	-1.1	28.3
Quinns Rocks	6030	-31.672941	115.70797	450000	-0.011	-1.1	28.3
Scarborough	6019	-31.894358	115.760162	752500	-0.01	-1	28.4
Manning	6152	-32.014654	115.868955	778000	-0.009	-0.9	28.5
Carramar	6031	-31.702735	115.777224	507050	-0.008	-0.8	28.6
Medina	6167	-32.234005	115.805381	243000	-0.008	-0.8	28.6
Bull Creek	6149	-32.064941	115.858679	701000	-0.006	-0.6	28.8
Churchlands	6018	-31.920203	115.787679	1350000	-0.006	-0.6	28.8
Darch	6065	-31.813228	115.844849	547500	-0.006	-0.6	28.8
Kardinya	6163	-32.065373	115.812717	626000	-0.006	-0.6	28.8
Leda	6170	-32.259689	115.805649	298250	-0.006	-0.6	28.8
Sorrento	6020	-31.825368	115.74915	895000	-0.006	-0.6	28.8
Connolly	6027	-31.75423	115.747626	672500	-0.005	-0.5	28.9
Jarrahdale	6124	-32.338316	116.072494	398000	-0.005	-0.5	28.9
Tuart Hill	6060	-31.902228	115.836972	545000	-0.005	-0.5	28.9
Bateman	6150	-32.059615	115.844417	720000	-0.004	-0.4	29
Burns Beach	6028	-31.7292	115.717254	829000	-0.004	-0.4	29
Karrinyup	6018	-31.875632	115.782191	800000	-0.004	-0.4	29
Seville Grove	6112	-32.130572	115.999769	340000	-0.004	-0.4	29
Ascot	6104	-31.940682	115.923003	745000	-0.003	-0.3	29.1
Carine	6020	-31.850982	115.778122	790000	-0.003	-0.3	29.1
Dianella	6059	-31.882862	115.861726	597000	-0.003	-0.3	29.1
Southern River	6110	-32.093777	115.958728	540000	-0.003	-0.3	29.1
Inglewood	6052	-31.921757	115.885517	811250	-0.002	-0.2	29.2
Spearwood	6163	-32.098599	115.782774	470000	-0.002	-0.2	29.2
Craigie	6025	-31.784792	115.767788	440000	0	0	29.4
Hamersley	6022	-31.849089	115.804841	525000	0	0	29.4
Langford	6147	-32.043771	115.941353	355000	0	0	29.4
Northbridge	6003	-31.946969	115.857386	1150000	0	0	29.4
Palmyra	6157	-32.038738	115.776156	620000	0	0	29.4
Piesse Brook	6076	-31.979156	116.08494	810000	0	0	29.4
Wungong	6112	-32.173983	116.004872	567100	0	0	29.4
Pearsall	6065	-31.785568	115.817121	449750	0.002	0.2	29.6
Stratton	6056	-31.865976	116.043026	330500	0.002	0.2	29.6
Trigg	6029	-31.876031	115.752936	1180000	0.002	0.2	29.6
Bayswater	6053	-31.91783	115.913379	572500	0.003	0.3	29.7
Beaconsfield	6162	-32.067527	115.764181	702500	0.004	0.4	29.8
Golden Bay	6174	-32.429853	115.750353	368750	0.005	0.5	29.9
Mundaring	6073	-31.902029	116.168205	569000	0.007	0.7	30.1
Shenton Park	6008	-31.960889	115.812352	1244000	0.007	0.7	30.1
Beechboro	6063	-31.867238	115.924904	380000	0.008	0.8	30.2
Mindarie	6030	-31.685654	115.703795	655000	0.008	0.8	30.2
Aubin Grove	6164	-32.168408	115.861123	555000	0.009	0.9	30.3
Canning Vale	6155	-32.057985	115.918139	565000	0.009	0.9	30.3
Mount Pleasant	6153	-32.026993	115.852264	1100000	0.009	0.9	30.3
Wilson	6107	-32.015239	115.906404	535000	0.009	0.9	30.3
Currambine	6028	-31.735025	115.744417	542500	0.015	1.5	30.9
Highgate	6003	-31.939272	115.869136	837778	0.015	1.5	30.9
Madeley	6065	-31.803342	115.822377	589000	0.016	1.6	31
South Perth	6151	-31.980787	115.862829	1270000	0.016	1.6	31
Sinagra	6065	-31.744522	115.804844	460000	0.017	1.7	31.1
Victoria Park	6100	-31.974791	115.897592	660000	0.018	1.8	31.2
Como	6152	-31.989651	115.870024	892500	0.02	2	31.4
Joondanna	6060	-31.914184	115.838402	650000	0.02	2	31.4
Queens Park	6107	-31.99976	115.952247	437000	0.021	2.1	31.5
Maida Vale	6057	-31.952267	116.025511	512500	0.025	2.5	31.9
Wellard	6170	-32.26089	115.846968	416250	0.025	2.5	31.9
Kalamunda	6076	-31.971851	116.056734	585000	0.026	2.6	32
Dalkeith	6009	-31.994799	115.798774	2515000	0.027	2.7	32.1
Iluka	6028	-31.737276	115.73029	865000	0.03	3	32.4
Yokine	6060	-31.89415	115.84939	680000	0.03	3	32.4
North Perth	6006	-31.982001	115.760961	835250	0.034	3.4	32.8
Whitby	6123	-32.295719	116.010451	455000	0.034	3.4	32.8
Lesmurdie	6076	-31.998946	116.052583	595000	0.039	3.9	33.3
Alfred Cove	6154	-32.034236	115.808606	782500	0.04	4	33.4
Walliston	6076	-32.002224	116.068624	505000	0.041	4.1	33.5
Eglinton	6034	-31.85291	115.80596	457500	0.042	4.2	33.6
Cottesloe	6011	-31.997976	115.762877	2100000	0.045	4.5	33.9
Yangebup	6164	-32.123716	115.816654	452500	0.046	4.6	34
Kensington	6151	-31.987458	115.882958	832500	0.047	4.7	34.1
East Fremantle	6158	-32.044951	115.758095	1150000	0.05	5	34.4
Murdoch	6150	-32.062085	115.832701	728500	0.051	5.1	34.5
The Vines	6069	-31.749482	116.001058	650000	0.053	5.3	34.7
Samson	6163	-32.070801	115.801244	593500	0.054	5.4	34.8
Peppermint Grove	6011	-31.9998	115.767267	3700000	0.057	5.7	35.1
Applecross	6153	-32.0194	115.833223	1600000	0.058	5.8	35.2
North Beach	6020	-31.860972	115.752859	1060000	0.06	6	35.4
Mount Hawthorn	6016	-31.920297	115.836577	870000	0.061	6.1	35.5
West Perth	6005	-31.950555	115.843835	740000	0.061	6.1	35.5
Leeming	6149	-32.072785	115.864028	705000	0.068	6.8	36.2
White Gum Valley	6162	-32.063415	115.767375	730000	0.07	7	36.4
Winthrop	6150	-32.058198	115.833071	899000	0.07	7	36.4
Guildford	6055	-31.898832	115.971701	652500	0.071	7.1	36.5
Casuarina	6167	-32.237622	115.874563	852399	0.072	7.2	36.6
Mosman Park	6012	-32.006407	115.757689	1377500	0.072	7.2	36.6
